City,Access,Booking App,City 1,Start Date,Direct Booking?,Fares?,Service Area,,Status 1,Supervision,Tech Firm,Text,Vehicle Type
Silicon Valley,Public,Waymo,Silicon Valley,"March 11, 2025",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Silicon_Valley_March_2025_Boundary.geojson,,Deprecated,Autonomous,Waymo,,Jaguar I-Pace
Silicon Valley,Public,Waymo,Silicon Valley,"June 17, 2025",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Silicon_Valley_June_2025_Boundary.geojson,,Active,Autonomous,Waymo,,Jaguar I-Pace
San Francisco,Waitlist,Waymo,San Francisco,"June 25, 2024",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_San_Francisco_August_2023_Boundary%201.geojson,,Deprecated,Autonomous,Waymo,,Jaguar I-Pace
San Francisco,Public,Waymo,San Francisco,"June 17, 2025",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_San_Francisco_June_2025_Boundary.geojson,,Active,Autonomous,Waymo,,Jaguar I-Pace
San Francisco,Waitlist,Waymo,San Francisco,"December 16, 2022",Yes,No,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_San_Francisco_December_2022_Boundary.geojson,,Deprecated,Autonomous,Waymo,,Jaguar I-Pace
San Francisco,Public,Waymo,San Francisco,"August 6, 2024",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_San_Francisco_August_2024_Boundary.geojson,,Deprecated,Autonomous,Waymo,,Jaguar I-Pace
San Francisco,Waitlist,Waymo,San Francisco,"August 21, 2023",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_San_Francisco_August_2023_Boundary.geojson,,Deprecated,Autonomous,Waymo,,Jaguar I-Pace
Phoenix,Public,Waymo,Phoenix,"October 8, 2020",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Phoenix_October_2020.geojson,,Deprecated,Autonomous,Waymo,,"Chrysler Pacifica Hybrid, Jaguar I-Pace"
Phoenix,Public,Waymo,Phoenix,"November 1, 2022",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Phoenix_December_2022_Boundary.geojson,,Deprecated,Autonomous,Waymo,,"Chrysler Pacifica Hybrid, Jaguar I-Pace"
Phoenix,Public,Waymo,Phoenix,"June 5, 2024",Yes,Yes,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Phoenix_June_2024_Boundary.geojson,,Active,Autonomous,Waymo,,Jaguar I-Pace
