City,Access,Booking App,City 1,Direct Booking?,End Date,Fares?,ODD,Service Area,Start Date,Status 1,Supervision,Tech Firm,Text,Vehicle Type
San Francisco,Public,Waymo,San Francisco,Yes,,Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_San_Francisco_June_2025_Boundary.geojson,"June 17, 2025",Active,Autonomous,Waymo,,Jaguar I-Pace
San Francisco,Public,Waymo,San Francisco,Yes,"June 16, 2025",Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_San_Francisco_August_2024_Boundary.geojson,"August 6, 2024",Deprecated,Autonomous,Waymo,,Jaguar I-Pace
San Francisco,Waitlist,Waymo,San Francisco,Yes,"June 24, 2024",Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_San_Francisco_August_2023_Boundary.geojson,"August 21, 2023",Deprecated,Autonomous,Waymo,,Jaguar I-Pace
Phoenix,Public,Waymo,Phoenix,Yes,,Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Phoenix_June_2024_Boundary.geojson,"June 5, 2024",Active,Autonomous,Waymo,,Jaguar I-Pace
Phoenix,Public,Waymo,Phoenix,Yes,"June 4, 2024",Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Phoenix_May_2023_Boundary.geojson,"May 4, 2023",Deprecated,Autonomous,Waymo,,Jaguar I-Pace
Phoenix,Public,Waymo,Phoenix,Yes,"May 3, 2023",Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Phoenix_December_2022_Boundary.geojson,"November 1, 2022",Deprecated,Autonomous,Waymo,,"Chrysler Pacifica Hybrid, Jaguar I-Pace"
Austin,Public,Uber,Austin,No,,Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Austin_July_2025_Boundary.geojson,"July 17, 2025",Active,Autonomous,Waymo,,Jaguar I-Pace
Austin,Public,Uber,Austin,No,"July 16, 2025",Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Waymo_Austin_March_2025_Boundary.geojson,"March 4, 2025",Deprecated,Autonomous,Waymo,,Jaguar I-Pace
Bay Area,Waitlist,Robotaxi,Bay Area,Yes,,Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/Tesla_Bay_Area_July_31_2025_Boundary.geojson,"July 31, 2025",Active,Safety Driver,Tesla,,Tesla Model Y
Atlanta,Public,Lyft,Atlanta,No,,Yes,,Deployments%2026b14f1c8b5c80c595def57f0234e312/May_Mobility_Atlanta_September_2025_Boundary.geojson,"September 10, 2025",Active,Safety Driver,May Mobility,,Toyota Sienna
